(0, 40, -426.0)
(1, 30, -692.0)
(2, 20, -780.0)
(3, 40, -984.0)
(4, 40, -1323.0)
(5, 20, -1142.0)
(6, 30, -1322.0)
(7, 20, -1871.0)
(8, 50, -1613.0)
(9, 30, -1350.0)
(10, 40, -1389.0)
(11, 10, -775.0)
(12, 20, -955.0)
(13, 10, -1266.0)
(14, 10, -1171.0)
(15, 40, -1261.0)
(16, 20, -1485.0)
(17, 20, -1356.0)
(18, 30, -1485.0)
(19, 40, -1781.0)
(20, 10, -1741.0)
(21, 30, -1773.0)
(22, 50, -2355.0)
(23, 10, -2361.0)
(24, 50, -2707.0)
(25, 10, -3141.0)
(26, 30, -2744.0)
(27, 10, -3049.0)
(28, 20, -2889.0)
(29, 50, -2395.0)
(30, 40, -1939.0)
(31, 40, -1575.0)
(32, 10, -1047.0)
(33, 10, -956.0)
(34, 10, -606.0)
(35, 40, -398.0)
(36, 50, -389.0)
(37, 50, -264.0)
(38, 10, -279.0)
(39, 40, -110.0)
