(0, 50, -434.0)
(1, 50, -727.0)
(2, 30, -834.0)
(3, 50, -965.0)
(4, 50, -1269.0)
(5, 40, -1123.0)
(6, 50, -1400.0)
(7, 40, -2034.0)
(8, 20, -1514.0)
(9, 50, -1180.0)
(10, 20, -1304.0)
(11, 50, -621.0)
(12, 10, -979.0)
(13, 20, -1223.0)
(14, 40, -1357.0)
(15, 50, -1603.0)
(16, 10, -1781.0)
(17, 50, -1488.0)
(18, 10, -1719.0)
(19, 50, -2033.0)
(20, 20, -2131.0)
(21, 50, -2426.0)
(22, 30, -2501.0)
(23, 40, -2132.0)
(24, 20, -2371.0)
(25, 50, -2498.0)
(26, 20, -2011.0)
(27, 50, -1977.0)
(28, 50, -2027.0)
(29, 50, -1744.0)
(30, 20, -1554.0)
(31, 50, -1505.0)
(32, 40, -1103.0)
(33, 50, -841.0)
(34, 40, -418.0)
(35, 40, -326.0)
(36, 40, -352.0)
(37, 40, -346.0)
(38, 50, -112.0)
(39, 40, -120.0)
(40, 50, -60.0)
(41, 50, -60.0)
(42, 30, -60.0)
