(0, 10, -434.0)
(1, 40, -678.0)
(2, 50, -781.0)
(3, 30, -830.0)
(4, 40, -1103.0)
(5, 40, -1259.0)
(6, 20, -1638.0)
(7, 30, -2227.0)
(8, 40, -1728.0)
(9, 30, -1509.0)
(10, 30, -1682.0)
(11, 30, -1071.0)
(12, 30, -1267.0)
(13, 40, -1397.0)
(14, 40, -1295.0)
(15, 30, -1715.0)
(16, 30, -2108.0)
(17, 20, -2235.0)
(18, 10, -2135.0)
(19, 30, -2454.0)
(20, 40, -2212.0)
(21, 30, -2952.0)
(22, 30, -3277.0)
(23, 50, -2753.0)
(24, 30, -2429.0)
(25, 30, -2894.0)
(26, 30, -3006.0)
(27, 50, -2589.0)
(28, 30, -2425.0)
(29, 30, -2125.0)
(30, 20, -1776.0)
(31, 50, -1430.0)
(32, 30, -1054.0)
(33, 40, -680.0)
(34, 20, -530.0)
(35, 30, -301.0)
(36, 20, -240.0)
(37, 20, -240.0)
(38, 20, -240.0)
(39, 30, -172.0)
(40, 20, -120.0)
(41, 10, -120.0)
(42, 20, -120.0)
(43, 20, -120.0)
