(0, 50, -28.933333333333334)
(1, 50, -34.61904761904762)
(2, 50, -34.34782608695652)
(3, 50, -36.208333333333336)
(4, 30, -43.06666666666667)
(5, 50, -38.696969696969695)
(6, 50, -44.02777777777778)
(7, 50, -51.09756097560975)
(8, 40, -42.63157894736842)
(9, 50, -38.54054054054054)
(10, 30, -42.13157894736842)
(11, 50, -33.43333333333333)
(12, 50, -37.06896551724138)
(13, 50, -45.10344827586207)
(14, 50, -37.696969696969695)
(15, 50, -39.86486486486486)
(16, 50, -45.71052631578947)
(17, 50, -39.354838709677416)
(18, 50, -39.275862068965516)
(19, 50, -45.96774193548387)
(20, 50, -42.34285714285714)
(21, 50, -39.69444444444444)
(22, 50, -48.425)
(23, 50, -38.977777777777774)
(24, 50, -42.82)
(25, 50, -49.86)
(26, 50, -42.98076923076923)
(27, 40, -40.509803921568626)
(28, 20, -42.048780487804876)
(29, 50, -44.8)
(30, 50, -54.111111111111114)
(31, 50, -55.61538461538461)
(32, 50, -59.5)
(33, 50, -52.55555555555556)
(34, 50, -56.625)
(35, 50, -60.0)
(36, 50, -60.0)
(37, 40, -60.0)
(38, 50, -46.5)
(39, 50, -60.0)
(40, 50, -60.0)
(41, 50, -60.0)
(42, 50, -60.0)
(43, 50, -60.0)
