(0, 20, -25.705882352941178)
(1, 30, -36.166666666666664)
(2, 30, -33.391304347826086)
(3, 30, -35.52)
(4, 30, -42.4375)
(5, 30, -39.75757575757576)
(6, 30, -41.83783783783784)
(7, 40, -50.06666666666667)
(8, 20, -39.869565217391305)
(9, 20, -37.048780487804876)
(10, 30, -42.351351351351354)
(11, 30, -32.37931034482759)
(12, 30, -37.38709677419355)
(13, 30, -42.689655172413794)
(14, 30, -34.84848484848485)
(15, 10, -39.62162162162162)
(16, 30, -45.76923076923077)
(17, 30, -38.361111111111114)
(18, 30, -42.857142857142854)
(19, 30, -46.054054054054056)
(20, 30, -42.388888888888886)
(21, 30, -36.41463414634146)
(22, 30, -49.62222222222222)
(23, 30, -43.40384615384615)
(24, 50, -42.945454545454545)
(25, 30, -47.8)
(26, 30, -45.232142857142854)
(27, 30, -38.714285714285715)
(28, 30, -45.94230769230769)
(29, 30, -46.41463414634146)
(30, 30, -54.3125)
(31, 40, -54.52)
(32, 30, -49.9375)
(33, 30, -56.75)
(34, 30, -55.8)
(35, 30, -53.5)
(36, 30, -60.0)
(37, 10, -60.0)
(38, 30, -60.0)
(39, 30, -56.0)
(40, 30, -60.0)
(41, 30, -60.0)
(42, 30, -60.0)
(43, 30, -60.0)
