(0, 20, -25.705882352941178)
(1, 10, -33.88461538461539)
(2, 10, -29.346153846153847)
(3, 10, -35.17857142857143)
(4, 10, -39.42424242424242)
(5, 10, -37.45454545454545)
(6, 10, -39.0)
(7, 50, -46.9)
(8, 40, -41.4390243902439)
(9, 10, -40.916666666666664)
(10, 10, -42.3125)
(11, 10, -32.51851851851852)
(12, 10, -39.724137931034484)
(13, 50, -46.375)
(14, 30, -36.578947368421055)
(15, 40, -40.525)
(16, 30, -50.34146341463415)
(17, 10, -45.275)
(18, 10, -43.095238095238095)
(19, 10, -50.38297872340426)
(20, 10, -47.40384615384615)
(21, 10, -44.706896551724135)
(22, 10, -46.8)
(23, 10, -40.40909090909091)
(24, 40, -43.885245901639344)
(25, 50, -48.92857142857143)
(26, 50, -42.25)
(27, 50, -39.96491228070175)
(28, 10, -47.741379310344826)
(29, 20, -50.79245283018868)
(30, 10, -51.59183673469388)
(31, 20, -57.46511627906977)
(32, 30, -56.95)
(33, 50, -55.44444444444444)
(34, 20, -55.92857142857143)
(35, 10, -48.17391304347826)
(36, 10, -54.8125)
(37, 10, -52.93333333333333)
(38, 10, -44.1)
(39, 10, -55.166666666666664)
(40, 50, -60.0)
(41, 10, -60.0)
(42, 30, -54.5)
(43, 10, -60.0)
