(0, 40, -28.4)
(1, 40, -34.04761904761905)
(2, 40, -33.391304347826086)
(3, 40, -35.833333333333336)
(4, 40, -42.93333333333333)
(5, 40, -38.696969696969695)
(6, 40, -44.3235294117647)
(7, 40, -50.707317073170735)
(8, 40, -42.36842105263158)
(9, 30, -35.44736842105263)
(10, 40, -42.916666666666664)
(11, 40, -32.55555555555556)
(12, 40, -35.857142857142854)
(13, 40, -44.5)
(14, 40, -37.72222222222222)
(15, 40, -41.3)
(16, 40, -46.34146341463415)
(17, 40, -39.6)
(18, 40, -42.1764705882353)
(19, 40, -48.114285714285714)
(20, 40, -44.23076923076923)
(21, 50, -39.45454545454545)
(22, 10, -48.93478260869565)
(23, 40, -42.42)
(24, 40, -47.56521739130435)
(25, 40, -47.46666666666667)
(26, 40, -44.148148148148145)
(27, 40, -42.236363636363635)
(28, 30, -46.68)
(29, 40, -43.5)
(30, 40, -50.22222222222222)
(31, 50, -57.12)
(32, 30, -57.86666666666667)
(33, 40, -56.84615384615385)
(34, 40, -56.2)
(35, 30, -55.25)
(36, 30, -60.0)
(37, 30, -60.0)
(38, 10, -60.0)
(39, 30, -54.5)
(40, 30, -60.0)
(41, 30, -60.0)
(42, 30, -60.0)
(43, 30, -60.0)
