(0, 40, -28.4)
(1, 10, -34.04761904761905)
(2, 40, -33.391304347826086)
(3, 30, -35.291666666666664)
(4, 40, -42.63333333333333)
(5, 10, -39.03225806451613)
(6, 40, -44.05714285714286)
(7, 20, -50.857142857142854)
(8, 20, -38.93181818181818)
(9, 30, -40.39473684210526)
(10, 20, -39.26315789473684)
(11, 20, -32.411764705882355)
(12, 40, -38.205882352941174)
(13, 40, -46.28125)
(14, 20, -33.97142857142857)
(15, 40, -37.083333333333336)
(16, 20, -43.78947368421053)
(17, 20, -37.951219512195124)
(18, 40, -44.13157894736842)
(19, 20, -47.86486486486486)
(20, 40, -42.59090909090909)
(21, 20, -41.93617021276596)
(22, 10, -46.208333333333336)
(23, 50, -45.61224489795919)
(24, 10, -41.80392156862745)
(25, 50, -45.27777777777778)
(26, 50, -46.035714285714285)
(27, 20, -39.6140350877193)
(28, 50, -46.48076923076923)
(29, 50, -44.292682926829265)
(30, 40, -52.57575757575758)
(31, 40, -58.1)
(32, 40, -57.19230769230769)
(33, 40, -51.73684210526316)
(34, 10, -49.916666666666664)
(35, 20, -57.5)
(36, 40, -60.0)
(37, 40, -60.0)
(38, 40, -60.0)
(39, 40, -56.666666666666664)
(40, 40, -52.5)
(41, 40, -51.5)
(42, 20, -60.0)
(43, 40, -60.0)
