(0, 10, -28.933333333333334)
(1, 30, -33.36363636363637)
(2, 30, -34.458333333333336)
(3, 30, -37.03846153846154)
(4, 50, -42.035714285714285)
(5, 10, -38.5)
(6, 10, -43.06060606060606)
(7, 10, -50.357142857142854)
(8, 10, -43.65)
(9, 10, -42.24242424242424)
(10, 10, -41.361111111111114)
(11, 10, -35.16129032258065)
(12, 50, -41.93939393939394)
(13, 10, -46.911764705882355)
(14, 10, -41.225)
(15, 50, -43.55813953488372)
(16, 50, -48.702127659574465)
(17, 10, -43.83720930232558)
(18, 10, -41.2)
(19, 30, -48.53488372093023)
(20, 40, -44.372093023255815)
(21, 20, -42.70454545454545)
(22, 10, -50.608695652173914)
(23, 40, -41.375)
(24, 40, -38.02040816326531)
(25, 10, -45.78260869565217)
(26, 50, -44.08510638297872)
(27, 10, -46.66)
(28, 30, -49.07692307692308)
(29, 30, -49.608695652173914)
(30, 10, -37.23684210526316)
(31, 10, -52.8)
(32, 10, -49.13636363636363)
(33, 10, -53.72222222222222)
(34, 10, -54.22222222222222)
(35, 50, -49.6)
(36, 50, -60.0)
(37, 50, -60.0)
(38, 20, -60.0)
(39, 20, -58.0)
