(0, 50, -28.933333333333334)
(1, 40, -33.9)
(2, 30, -36.21739130434783)
(3, 30, -36.5)
(4, 30, -40.84375)
(5, 30, -38.96551724137931)
(6, 10, -41.24242424242424)
(7, 30, -48.17948717948718)
(8, 10, -41.58536585365854)
(9, 10, -41.794871794871796)
(10, 10, -41.526315789473685)
(11, 30, -37.29032258064516)
(12, 20, -35.06666666666667)
(13, 40, -44.16129032258065)
(14, 30, -36.8421052631579)
(15, 30, -41.28947368421053)
(16, 30, -46.357142857142854)
(17, 30, -43.53191489361702)
(18, 30, -47.53191489361702)
(19, 30, -51.53191489361702)
(20, 50, -49.81481481481482)
(21, 30, -43.114754098360656)
(22, 30, -51.301587301587304)
(23, 50, -40.81428571428572)
(24, 50, -47.0)
(25, 30, -52.59375)
(26, 40, -45.39344262295082)
(27, 10, -43.49180327868852)
(28, 20, -49.353846153846156)
(29, 30, -50.56140350877193)
(30, 30, -53.40909090909091)
(31, 30, -55.56410256410256)
(32, 30, -50.18181818181818)
(33, 30, -52.61538461538461)
(34, 30, -54.904761904761905)
(35, 40, -47.07142857142857)
(36, 30, -52.1)
(37, 30, -60.0)
(38, 20, -60.0)
(39, 30, -55.4)
(40, 10, -60.0)
(41, 10, -60.0)
(42, 10, -60.0)
(43, 30, -60.0)
