(0, 30, -27.466666666666665)
(1, 40, -35.63636363636363)
(2, 30, -33.391304347826086)
(3, 40, -36.55555555555556)
(4, 20, -39.45161290322581)
(5, 40, -38.65625)
(6, 10, -43.28947368421053)
(7, 30, -49.355555555555554)
(8, 40, -43.8974358974359)
(9, 20, -36.19047619047619)
(10, 40, -44.04761904761905)
(11, 20, -34.054054054054056)
(12, 40, -43.256410256410255)
(13, 40, -49.88095238095238)
(14, 40, -43.47826086956522)
(15, 10, -48.755102040816325)
(16, 40, -50.12765957446808)
(17, 40, -45.08163265306123)
(18, 40, -45.59183673469388)
(19, 40, -43.431372549019606)
(20, 40, -36.95652173913044)
(21, 50, -43.90196078431372)
(22, 40, -47.78846153846154)
(23, 40, -39.84444444444444)
(24, 40, -44.44444444444444)
(25, 40, -46.22222222222222)
(26, 40, -44.30232558139535)
(27, 40, -39.90909090909091)
(28, 40, -46.285714285714285)
(29, 40, -45.67741935483871)
(30, 40, -54.958333333333336)
(31, 40, -55.72727272727273)
(32, 40, -51.45454545454545)
(33, 40, -47.4)
(34, 40, -52.5)
(35, 20, -60.0)
(36, 10, -60.0)
(37, 40, -57.0)
(38, 40, -60.0)
(39, 30, -60.0)
(40, 40, -60.0)
(41, 50, -60.0)
(42, 30, -59.0)
