(0, 50, 0.6333916250426322)
(1, 10, 0.561112871213711)
(2, 10, 0.9346116076840963)
(3, 10, 0.6580629018216958)
(4, 10, 0.645183311989681)
(5, 30, 0.730148679186962)
(6, 10, 0.4769027916512614)
(7, 30, 0.1712550433116331)
(8, 30, 0.793173429287267)
(9, 30, 0.6588974478998177)
(10, 30, 0.7162288022558302)
(11, 20, 0.8907689728919748)
(12, 10, 0.6436884867916673)
(13, 20, 0.5527762189550829)
(14, 10, 0.7867398105162995)
(15, 10, 0.7635982584067572)
(16, 10, 0.4987269025137512)
(17, 10, 0.8129607572470812)
(18, 10, 0.5684754290497568)
(19, 10, 0.4612596261109765)
(20, 10, 0.6517833486558762)
(21, 30, 0.47209267532322613)
(22, 30, 0.41985769634897535)
(23, 30, 1.015560011088415)
(24, 30, 0.7082508616015369)
(25, 30, 0.7019469286316422)
(26, 40, 1.1719674932686703)
(27, 40, 0.7982112988801618)
(28, 30, 0.510616713077379)
(29, 30, 0.6487406154885952)
(30, 30, 0.2792990752625867)
(31, 30, 0.23944169976584945)
(32, 40, 0.49404616716651234)
(33, 40, 0.26203024016852655)
(34, 20, 0.16885518371278502)
(35, 40, 0.1414330067653799)
(36, 40, 0.0491155590036596)
(37, 40, 0.0029422860231924455)
(38, 40, 0.03919613345706655)
(39, 40, 0.0)
(40, 20, 0.0)
(41, 40, 0.0)
(42, 40, 0.0)
