(0, 30, 0.6150006094761349)
(1, 40, 0.5484969977251006)
(2, 40, 0.9398315356181226)
(3, 40, 0.6730798999726723)
(4, 50, 0.5192119068278737)
(5, 50, 0.741820224666757)
(6, 10, 0.6278756403990075)
(7, 30, 0.18619505721302337)
(8, 50, 0.7270484522668799)
(9, 50, 0.6737296531881358)
(10, 40, 0.7443885461917096)
(11, 40, 0.8168791916083338)
(12, 10, 0.5927225408258997)
(13, 50, 0.4939816426394701)
(14, 30, 0.5619337361448351)
(15, 40, 0.4403325343760382)
(16, 50, 0.31495299419758016)
(17, 50, 0.5572661367290995)
(18, 30, 0.17150732068149932)
(19, 50, 0.4055268195265179)
(20, 20, 0.6779240668377545)
(21, 50, 0.7510173923491246)
(22, 40, 0.4536676472244825)
(23, 50, 0.8012879302044404)
(24, 50, 0.6983266230605493)
(25, 50, 0.7424962022654583)
(26, 50, 0.8838389847957747)
(27, 50, 0.5672806099354951)
(28, 30, 0.6650278748534881)
(29, 30, 0.5479545595706186)
(30, 40, 0.8442222618485882)
(31, 50, 0.22873391219517666)
(32, 50, 0.4520456084517417)
(33, 40, 0.5675476025842137)
(34, 40, 0.2310472080913616)
(35, 50, 0.22715133658714148)
(36, 10, 0.12439730094730847)
(37, 50, 0.04409941326752062)
(38, 50, 0.12990167434744407)
(39, 50, 0.021393903196116153)
(40, 50, 0.0)
(41, 50, 0.0)
(42, 50, 0.0)
(43, 50, 0.00319777908506285)
