(0, 50, 0.6333916250426322)
(1, 40, 0.5683935874774918)
(2, 50, 0.9253183165156383)
(3, 20, 0.6775378293871027)
(4, 30, 0.5235719931060099)
(5, 30, 0.7688680343485421)
(6, 30, 0.5123507382739961)
(7, 40, 0.2313024108745712)
(8, 10, 0.9186249486184015)
(9, 20, 0.6568834130004592)
(10, 30, 0.6672224271731851)
(11, 30, 0.9482796991587752)
(12, 40, 0.7011956679485598)
(13, 40, 0.4141030149322604)
(14, 40, 0.9759251228223409)
(15, 30, 0.7770156422628507)
(16, 30, 0.4698758715326461)
(17, 30, 0.8558725331504952)
(18, 30, 0.5341010164649436)
(19, 30, 0.30637228388713494)
(20, 30, 0.6319497751523452)
(21, 30, 0.6468160856675869)
(22, 40, 0.4438275813115253)
(23, 30, 0.7338921463553641)
(24, 30, 0.8935838982927429)
(25, 30, 0.5916918928568566)
(26, 40, 0.6712622203122641)
(27, 40, 0.48890670856959617)
(28, 50, 0.5514848854853499)
(29, 30, 0.8044405916997034)
(30, 40, 0.548421340573773)
(31, 40, 0.38759002083211297)
(32, 40, 0.557339743302537)
(33, 40, 0.12031768515065298)
(34, 40, 0.20723586203879651)
(35, 40, 0.058958094372489334)
(36, 40, 0.04529277665983545)
(37, 40, 0.0)
(38, 40, 0.0)
(39, 10, 0.003472682251357802)
(40, 40, 0.0)
(41, 10, 0.0)
(42, 40, 0.0)
(43, 40, 0.0)
