(0, 10, -434.0)
(1, 10, -727.0)
(2, 10, -790.0)
(3, 50, -869.0)
(4, 10, -1203.0)
(5, 10, -1383.0)
(6, 10, -1765.0)
(7, 10, -2502.0)
(8, 10, -1943.0)
(9, 10, -1597.0)
(10, 10, -1710.0)
(11, 10, -1003.0)
(12, 10, -1324.0)
(13, 10, -1592.0)
(14, 10, -1632.0)
(15, 20, -1823.0)
(16, 50, -2018.0)
(17, 10, -1398.0)
(18, 10, -1778.0)
(19, 10, -2030.0)
(20, 10, -1933.0)
(21, 10, -2119.0)
(22, 10, -2425.0)
(23, 10, -1831.0)
(24, 40, -2155.0)
(25, 10, -2009.0)
(26, 10, -1689.0)
(27, 10, -1870.0)
(28, 30, -1866.0)
(29, 20, -1462.0)
(30, 30, -1358.0)
(31, 30, -1019.0)
(32, 30, -560.0)
(33, 30, -584.0)
(34, 30, -579.0)
(35, 30, -583.0)
(36, 30, -600.0)
(37, 30, -381.0)
(38, 50, -145.0)
(39, 50, -101.0)
(40, 30, -120.0)
(41, 30, -120.0)
(42, 30, -120.0)
(43, 30, -59.0)
