(0, 20, -437.0)
(1, 10, -881.0)
(2, 20, -763.0)
(3, 10, -985.0)
(4, 30, -1330.0)
(5, 20, -1181.0)
(6, 30, -1341.0)
(7, 50, -1884.0)
(8, 20, -1539.0)
(9, 40, -1211.0)
(10, 20, -1272.0)
(11, 10, -912.0)
(12, 30, -1122.0)
(13, 20, -1334.0)
(14, 20, -1353.0)
(15, 20, -1437.0)
(16, 20, -1983.0)
(17, 20, -2206.0)
(18, 40, -2113.0)
(19, 40, -2409.0)
(20, 20, -2192.0)
(21, 40, -2600.0)
(22, 10, -3097.0)
(23, 10, -3087.0)
(24, 40, -3157.0)
(25, 30, -3067.0)
(26, 50, -2900.0)
(27, 40, -3314.0)
(28, 50, -3243.0)
(29, 40, -2983.0)
(30, 20, -2226.0)
(31, 20, -2305.0)
(32, 20, -1774.0)
(33, 20, -1385.0)
(34, 10, -1014.0)
(35, 30, -929.0)
(36, 10, -888.0)
(37, 20, -316.0)
(38, 40, -232.0)
(39, 20, -111.0)
(40, 30, -108.0)
(41, 40, -120.0)
