(0, 40, -28.4)
(1, 40, -34.04761904761905)
(2, 50, -33.91304347826087)
(3, 20, -32.666666666666664)
(4, 50, -41.57142857142857)
(5, 10, -40.689655172413794)
(6, 50, -43.270270270270274)
(7, 30, -50.361702127659576)
(8, 50, -44.111111111111114)
(9, 30, -36.17948717948718)
(10, 50, -44.7027027027027)
(11, 30, -33.470588235294116)
(12, 30, -39.696969696969695)
(13, 30, -43.878787878787875)
(14, 50, -37.42857142857143)
(15, 10, -39.55555555555556)
(16, 20, -44.75)
(17, 20, -40.526315789473685)
(18, 40, -41.833333333333336)
(19, 40, -46.94117647058823)
(20, 50, -43.86486486486486)
(21, 40, -44.36842105263158)
(22, 30, -48.148936170212764)
(23, 40, -41.527272727272724)
(24, 10, -46.24074074074074)
(25, 30, -47.0377358490566)
(26, 50, -39.981818181818184)
(27, 20, -38.410714285714285)
(28, 40, -48.70909090909091)
(29, 50, -44.71111111111111)
(30, 10, -51.40625)
(31, 50, -52.708333333333336)
(32, 30, -47.785714285714285)
(33, 40, -58.111111111111114)
(34, 20, -60.0)
(35, 40, -60.0)
(36, 30, -53.25)
(37, 10, -52.5)
(38, 10, -60.0)
(39, 10, -60.0)
(40, 10, -60.0)
(41, 30, -60.0)
