(0, 10, -28.933333333333334)
(1, 30, -33.36363636363637)
(2, 20, -31.56)
(3, 10, -34.714285714285715)
(4, 20, -38.93939393939394)
(5, 20, -37.6764705882353)
(6, 10, -40.078947368421055)
(7, 50, -49.62222222222222)
(8, 10, -42.0)
(9, 20, -38.45238095238095)
(10, 20, -41.275)
(11, 20, -32.878787878787875)
(12, 10, -33.90909090909091)
(13, 10, -40.357142857142854)
(14, 40, -38.21875)
(15, 10, -37.833333333333336)
(16, 40, -45.81578947368421)
(17, 50, -40.189189189189186)
(18, 30, -43.57142857142857)
(19, 20, -48.707317073170735)
(20, 10, -43.04545454545455)
(21, 40, -47.142857142857146)
(22, 30, -48.26829268292683)
(23, 30, -41.958333333333336)
(24, 10, -44.47826086956522)
(25, 30, -47.5)
(26, 10, -39.69491525423729)
(27, 30, -44.32258064516129)
(28, 50, -50.45)
(29, 30, -42.372549019607845)
(30, 50, -50.08108108108108)
(31, 10, -56.69444444444444)
(32, 10, -46.21052631578947)
(33, 10, -46.083333333333336)
(34, 50, -53.285714285714285)
(35, 20, -53.0)
(36, 30, -60.0)
(37, 30, -58.75)
(38, 10, -56.5)
(39, 20, -60.0)
(40, 40, -60.0)
(41, 50, -60.0)
(42, 40, -60.0)
