(0, 10, -28.933333333333334)
(1, 20, -30.136363636363637)
(2, 20, -31.6)
(3, 20, -34.892857142857146)
(4, 30, -41.516129032258064)
(5, 20, -36.193548387096776)
(6, 20, -40.11764705882353)
(7, 50, -46.275)
(8, 50, -41.46341463414634)
(9, 30, -38.027027027027025)
(10, 20, -40.0625)
(11, 20, -32.44827586206897)
(12, 20, -37.15625)
(13, 20, -37.53333333333333)
(14, 20, -34.09375)
(15, 20, -37.875)
(16, 20, -44.1578947368421)
(17, 50, -43.34375)
(18, 20, -40.41860465116279)
(19, 30, -44.58139534883721)
(20, 20, -41.13636363636363)
(21, 20, -43.04347826086956)
(22, 50, -51.95454545454545)
(23, 20, -39.72222222222222)
(24, 20, -40.905660377358494)
(25, 20, -47.9)
(26, 40, -43.528301886792455)
(27, 40, -37.578947368421055)
(28, 20, -49.25396825396825)
(29, 20, -47.172413793103445)
(30, 20, -52.86046511627907)
(31, 20, -54.16216216216216)
(32, 10, -47.06666666666667)
(33, 20, -49.38095238095238)
(34, 20, -52.4375)
(35, 20, -49.857142857142854)
(36, 20, -55.0)
(37, 10, -56.714285714285715)
(38, 20, -47.5)
(39, 30, -60.0)
(40, 20, -60.0)
(41, 20, -60.0)
(42, 50, -60.0)
