(0, 20, -25.705882352941178)
(1, 50, -36.21739130434783)
(2, 40, -34.0)
(3, 10, -36.392857142857146)
(4, 40, -42.233333333333334)
(5, 10, -41.1875)
(6, 50, -46.32432432432432)
(7, 50, -50.0)
(8, 10, -44.375)
(9, 50, -40.6764705882353)
(10, 50, -42.8421052631579)
(11, 20, -27.88235294117647)
(12, 50, -39.911764705882355)
(13, 10, -46.02777777777778)
(14, 10, -36.878787878787875)
(15, 50, -43.22222222222222)
(16, 20, -47.375)
(17, 50, -43.35)
(18, 50, -43.470588235294116)
(19, 50, -47.76923076923077)
(20, 30, -46.018181818181816)
(21, 50, -48.38181818181818)
(22, 20, -49.83870967741935)
(23, 50, -44.166666666666664)
(24, 30, -47.878787878787875)
(25, 20, -47.6)
(26, 20, -45.38461538461539)
(27, 40, -39.114285714285714)
(28, 30, -50.33802816901409)
(29, 40, -51.18032786885246)
(30, 30, -50.02)
(31, 40, -55.282051282051285)
(32, 40, -48.875)
(33, 30, -54.476190476190474)
(34, 50, -51.0)
(35, 30, -58.857142857142854)
(36, 30, -60.0)
(37, 30, -60.0)
(38, 30, -60.0)
(39, 40, -55.5)
(40, 50, -60.0)
(41, 50, -60.0)
(42, 10, -60.0)
(43, 50, -60.0)
